years,place,lat,lon,StateCode
1,"SHELBY BAPTIST MEDICAL CENTER, SHELBY, ALABASTER",33.232422,-86.80871,AL
1,"RUSSELL HOSPITAL, TALLAPOOSA, ALEXANDER CITY",32.903432,-85.92669,AL
1,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM, JEFFERSON, BESSEMER",33.544622,-86.929208,AL
1,"BIBB MEDICAL CENTER, BIBB, CENTREVILLE",32.963486,-87.13867,AL
1,"CULLMAN REGIONAL MEDICAL CENTER, CULLMAN, CULLMAN",34.223732,-86.7562,AL
1,"ST VINCENT'S ST CLAIR, SAINT CLAIR, PELL CITY",33.606663,-86.28912,AL
1,"COOSA VALLEY MEDICAL CENTER, TALLADEGA, SYLACAUGA",33.185782,-86.25105,AL
1,"CITIZENS BAPTIST MEDICAL CENTER, TALLADEGA, TALLADEGA",33.420206,-86.102782,AL
1,"ST VINCENT'S BIRMINGHAM, JEFFERSON, BIRMINGHAM",33.497055,-86.8057,AL
1,"BROOKWOOD MEDICAL CENTER, JEFFERSON, BIRMINGHAM",33.468306,-86.80814,AL
1,"HUNTSVILLE HOSPITAL, MADISON, HUNTSVILLE",34.72879,-86.57316,AL
1,"HUNTSVILLE HOSPITAL, MADISON, HUNTSVILLE",34.72879,-86.57316,AL
1,"RIVERVIEW REGIONAL MEDICAL CENTER, ETOWAH, GADSDEN",34.016747,-85.99282,AL
1,"GADSDEN REGIONAL MEDICAL CENTER, ETOWAH, GADSDEN",33.996698,-85.92496,AL
1,"MARSHALL MEDICAL CENTER SOUTH, MARSHALL, BOAZ",34.203621,-86.1728,AL
1,"CHEROKEE MEDICAL CENTER, CHEROKEE, CENTRE",34.141067,-85.60472,AL
1,"DEKALB REGIONAL MEDICAL CENTER, DE KALB, FORT PAYNE",34.460537,-85.76744,AL
1,"MEDICAL CENTER BARBOUR, BARBOUR, EUFAULA",31.876168,-85.17362,AL
1,"GEORGIANA MEDICAL CENTER, BUTLER, GEORGIANA",31.655458,-86.76737,AL
1,"L V STABLER MEMORIAL HOSPITAL, BUTLER, GREENVILLE",31.8007,-86.60591,AL
1,"CRENSHAW COMMUNITY HOSPITAL, CRENSHAW, LUVERNE",31.737407,-86.26946,AL
1,"PRATTVILLE BAPTIST HOSPITAL, AUTAUGA, PRATTVILLE",32.488113,-86.52962,AL
1,"COMMUNITY HOSPITAL INC, ELMORE, TALLASSEE",32.553036,-85.9136,AL
1,"TROY REGIONAL MEDICAL CENTER, PIKE, TROY",31.852825,-85.92314,AL
1,"BULLOCK COUNTY HOSPITAL, BULLOCK, UNION SPRINGS",32.145437,-85.70998,AL
1,"ELMORE COMMUNITY HOSPITAL, ELMORE, WETUMPKA",32.592889,-86.21902,AL
1,"JACKSON HOSPITAL & CLINIC INC, MONTGOMERY, MONTGOMERY",32.354888,-86.27161,AL
1,"VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY, MONTGOMERY, MONTGOMERY",32.386088,-86.24511,AL
1,"BAPTIST MEDICAL CENTER SOUTH, MONTGOMERY, MONTGOMERY",32.31324,-86.23672,AL
1,"BAPTIST MEDICAL CENTER EAST, MONTGOMERY, MONTGOMERY",32.373714,-86.16443,AL
1,"STRINGFELLOW MEMORIAL HOSPITAL, CALHOUN, ANNISTON",33.658803,-85.85178,AL
1,"NORTHEAST ALABAMA REGIONAL MED CENTER, CALHOUN, ANNISTON",33.651673,-85.75895,AL
1,"CLAY COUNTY HOSPITAL, CLAY, ASHLAND",33.243964,-85.84503,AL
1,"RMC JACKSONVILLE, CALHOUN, JACKSONVILLE",33.824496,-85.77037,AL
1,"WEDOWEE HOSPITAL, RANDOLPH, WEDOWEE",33.338853,-85.509,AL
1,"SOUTHEAST ALABAMA MEDICAL CENTER, HOUSTON, DOTHAN",31.180076,-85.4045,AL
1,"FLOWERS HOSPITAL, HOUSTON, DOTHAN",31.214832,-85.47402,AL
1,"MEDICAL CENTER ENTERPRISE, COFFEE, ENTERPRISE",31.32579,-85.84117,AL
1,"WIREGRASS MEDICAL CENTER, GENEVA, GENEVA",31.043454,-85.87941,AL
1,"DALE MEDICAL CENTER, DALE, OZARK",31.447119,-85.62908,AL
1,"EVERGREEN MEDICAL CENTER, CONECUH, EVERGREEN",31.461019,-86.96271,AL
1,"ANDALUSIA REGIONAL HOSPITAL, COVINGTON, ANDALUSIA",31.279043,-86.48699,AL
1,"D W MCMILLAN MEMORIAL HOSPITAL, ESCAMBIA, BREWTON",31.129008,-87.10173,AL
1,"GROVE HILL MEMORIAL HOSPITAL, CLARKE, GROVE HILL",31.704736,-87.77773,AL
1,"MONROE COUNTY HOSPITAL, MONROE, MONROEVILLE",31.509039,-87.32416,AL
1,"MIZELL MEMORIAL HOSPITAL, COVINGTON, OPP",31.280048,-86.25484,AL
1,"ATMORE COMMUNITY HOSPITAL, ESCAMBIA, ATMORE",31.090528,-87.49715,AL
1,"NORTH BALDWIN INFIRMARY, BALDWIN, BAY MINETTE",30.875697,-87.76592,AL
1,"WASHINGTON COUNTY HOSPITAL, WASHINGTON, CHATOM",31.463383,-88.26781,AL
1,"THOMAS HOSPITAL, BALDWIN, FAIRHOPE",30.512458,-87.88559,AL
1,"SOUTH BALDWIN REGIONAL MEDICAL CENTER, BALDWIN, FOLEY",30.396876,-87.69616,AL
1,"JACKSON MEDICAL CENTER, CLARKE, JACKSON",31.508231,-87.88346,AL
1,"UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS, MOBILE, MOBILE",30.68164,-88.06676,AL
1,"PROVIDENCE HOSPITAL, MOBILE, MOBILE",30.69044,-88.19701,AL
1,"PROVIDENCE HOSPITAL, MOBILE, MOBILE",30.69044,-88.19701,AL
1,"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER, MOBILE, MOBILE",30.717539,-88.09609,AL
1,"MOBILE INFIRMARY, MOBILE, MOBILE",30.658865,-88.177975,AL
1,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS, DALLAS, SELMA",32.429066,-87.03809,AL
1,"J PAUL JONES HOSPITAL, WILCOX, CAMDEN",32.008444,-87.25911,AL
1,"BRYAN W. WHITFIELD MEMORIAL HOSPITAL, MARENGO, DEMOPOLIS",32.495484,-87.84521,AL
1,"HALE COUNTY HOSPITAL, HALE, GREENSBORO",32.703529,-87.60177,AL
1,"EAST ALABAMA MEDICAL CENTER, LEE, OPELIKA",32.660497,-85.39917,AL
1,"LAKE MARTIN COMMUNITY HOSPITAL, TALLAPOOSA, DADEVILLE",32.787441,-85.79955,AL
1,"JACK HUGHSTON MEMORIAL HOSPITAL, RUSSELL, PHENIX CITY",32.492304,-85.01943,AL
1,"CHOCTAW GENERAL HOSPITAL, CHOCTAW, BUTLER",32.097363,-88.22647,AL
1,"HILL HOSPITAL OF SUMTER COUNTY, SUMTER, YORK",32.487726,-88.2679,AL
1,"PROVIDENCE ALASKA MEDICAL CENTER, ANCHORAGE, ANCHORAGE",61.203953,-149.8144,AL
1,"MAT-SU REGIONAL MEDICAL CENTER, MATANUSKA SUSITNA, PALMER",61.598203,-149.04109,AL
1,"BARTLETT REGIONAL HOSPITAL, JUNEAU, JUNEAU",58.358599,-134.54749,AL
1,"FAIRBANKS MEMORIAL HOSPITAL, FAIRBANKS NORTH STAR, FAIRBANKS",64.83507,-147.72045,AL
1,"PROVIDENCE ALASKA MEDICAL CENTER, ANCHORAGE, ANCHORAGE",61.203953,-149.8144,AL
1,"YUKON KUSKOKWIM DELTA REG HOSPITAL, BETHEL, BETHEL",60.766603,-161.88006,AL
1,"PROVIDENCE ALASKA MEDICAL CENTER, ANCHORAGE, ANCHORAGE",61.203953,-149.8144,AL
1,"MT EDGECUMBE HOSPITAL, SITKA, SITKA",57.064376,-135.3227,AL
1,"MT EDGECUMBE HOSPITAL, SITKA, SITKA",57.064376,-135.3227,AL
1,"PROVIDENCE KODIAK ISLAND MEDICAL CTR, KODIAK ISLAND, KODIAK",57.74663,-152.51142,AL
1,"NORTON SOUND REGIONAL HOSPITAL, NOME, NOME",64.532616,-165.10883,AL
1,"KANAKANAK HOSPITAL, DILLINGHAM, DILLINGHAM",59.068709,-158.44407,AL
1,"PEACEHEALTH KETCHIKAN MEDICAL CENTER, KETCHIKAN GATEWAY, KETCHIKAN",55.368644,-131.6762,AL
1,"ABRAZO MARYVALE CAMPUS, MARICOPA, PHOENIX",33.493496,-112.17108,AL
1,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS, MARICOPA, PHOENIX",33.466392,-112.04875,AL
1,"TUCSON MEDICAL CENTER, PIMA, TUCSON",32.249551,-110.8878,AL
1,"VERDE VALLEY MEDICAL CENTER, YAVAPAI, COTTONWOOD",34.723788,-112.01002,AL
1,"CARONDELET ST. MARY'S HOSPITAL, PIMA, TUCSON",32.242724,-111.0209,AL
1,"CARONDELET ST JOSEPH'S HOSPITAL, PIMA, TUCSON",32.216326,-110.88511,AL
1,"YAVAPAI REGIONAL MEDICAL CENTER, YAVAPAI, PRESCOTT",34.589477,-112.44726,AL
1,"YUMA REGIONAL MEDICAL CENTER, YUMA, YUMA",32.704499,-114.64644,AL
1,"JOHN C LINCOLN MEDICAL CENTER, MARICOPA, PHOENIX",33.563663,-112.05519,AL
1,"BANNER CASA GRANDE MEDICAL CENTER, PINAL, CASA GRANDE",32.878138,-111.73499,AL
1,"MARICOPA MEDICAL CENTER, MARICOPA, PHOENIX",33.466393,-112.0008,AL
1,"FLAGSTAFF MEDICAL CENTER, COCONINO, FLAGSTAFF",35.279872,-111.72256,AK
1,"ST JOSEPH'S HOSPITAL AND MEDICAL CENTER, MARICOPA, PHOENIX",33.50711,-112.08483,AK
1,"ABRAZO CENTRAL CAMPUS, MARICOPA, PHOENIX",33.50689,-112.10262,AK
1,"PAYSON REGIONAL MEDICAL CENTER, GILA, PAYSON",34.243578,-111.28137,AK
1,"CHANDLER REGIONAL MEDICAL CENTER, MARICOPA, CHANDLER",33.328951,-111.8735,AK
1,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS, MARICOPA, PHOENIX",33.466392,-112.04875,AK
1,"SCOTTSDALE OSBORN MEDICAL CENTER, MARICOPA, SCOTTSDALE",33.494152,-111.92079,AK
1,"CANYON VISTA MEDICAL CENTER, COCHISE, SIERRA VISTA",31.562546,-110.24288,AK
1,"BANNER BOSWELL MEDICAL CENTER, MARICOPA, SUN CITY",33.60642,-112.28316,AK
1,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER, NAVAJO, SHOW LOW",34.271427,-110.03676,AK
1,"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS, PIMA, TUCSON",32.240571,-110.944343,AK
1,"BANNER DESERT MEDICAL CENTER, MARICOPA, MESA",33.381097,-111.8756,AK
1,"MT GRAHAM REGIONAL MEDICAL CENTER, GRAHAM, SAFFORD",32.800222,-109.69052,AK
1,"HAVASU REGIONAL MEDICAL CENTER, MOHAVE, LAKE HAVASU CITY",34.483582,-114.33694,AZ
1,"FORT DEFIANCE INDIAN HOSPITAL, APACHE, FORT DEFIANCE",35.771067,-109.17878,AZ
1,"TUBA CITY REGIONAL HEALTH CARE CORPORATION, COCONINO, TUBA CITY",36.061184,-111.06828,AZ
1,"SELLS INDIAN HEALTH SERVICE HOSPITAL, PIMA, SELLS",31.998543,-111.93712,AZ
1,"SAN CARLOS INDIAN HOSPITAL, GILA, SAN CARLOS",33.37214,-110.11686,AZ
1,"PHOENIX INDIAN MEDICAL CENTER, MARICOPA, PHOENIX",33.503742,-112.03235,AZ
1,"ABRAZO SCOTTSDALE CAMPUS, MARICOPA, PHOENIX",33.62414,-112.00416,AZ
1,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY, APACHE, CHINLE",36.165779,-109.61956,AZ
1,"NORTHWEST MEDICAL CENTER, PIMA, TUCSON",32.338126,-111.04259,AZ
1,"SCOTTSDALE SHEA MEDICAL CENTER, MARICOPA, SCOTTSDALE",33.606004,-111.88699,AZ
1,"BANNER BAYWOOD MEDICAL CENTER, MARICOPA, MESA",33.400306,-111.72452,AZ
1,"BANNER THUNDERBIRD MEDICAL CENTER, MARICOPA, GLENDALE",33.624546,-112.1767,AZ
1,"HONORHEALTH DEER VALLEY MEDICAL CENTER, MARICOPA, PHOENIX",33.698731,-112.11429,AZ
1,"BANNER DEL E WEBB MEDICAL CENTER, MARICOPA, SUN CITY WEST",33.683352,-112.36474,AZ
1,"ABRAZO ARROWHEAD CAMPUS, MARICOPA, GLENDALE",33.657722,-112.17825,AZ
1,"WESTERN ARIZONA REGIONAL MEDICAL CENTER, MOHAVE, BULLHEAD CITY",35.097719,-114.59734,AZ
1,"MAYO CLINIC HOSPITAL, MARICOPA, PHOENIX",33.689558,-111.96463,AZ
1,"BANNER BAYWOOD MEDICAL CENTER, MARICOPA, MESA",33.400306,-111.72452,AZ
1,"BANNER BAYWOOD MEDICAL CENTER, MARICOPA, MESA",33.400306,-111.72452,AZ
1,"ABRAZO CENTRAL CAMPUS, MARICOPA, PHOENIX",33.50689,-112.10262,AZ
1,"ABRAZO WEST CAMPUS, MARICOPA, GOODYEAR",33.580089,-112.246311,AZ
1,"BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS, PIMA, TUCSON",32.194909,-110.9757,AZ
1,"CHANDLER REGIONAL MEDICAL CENTER, MARICOPA, CHANDLER",33.328951,-111.8735,AZ
1,"WHITERIVER PHS INDIAN HOSPITAL, NAVAJO, WHITERIVER",33.849439,-110.03334,AZ
1,"BANNER ESTRELLA MEDICAL CENTER, MARICOPA, PHOENIX",33.493006,-112.25539,AZ
1,"VALLEY VIEW MEDICAL CENTER, MOHAVE, FORT MOHAVE",35.013495,-114.58524,AZ
1,"YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS, YAVAPAI, PRESCOTT VALLEY",34.621743,-112.32176,AZ
1,"MERCY GILBERT MEDICAL CENTER, MARICOPA, GILBERT",33.319722,-111.76078,AZ
1,"BANNER GATEWAY MEDICAL CENTER, MARICOPA, GILBERT",33.36344,-111.75093,AZ
1,"SCOTTSDALE THOMPSON PEAK MEDICAL CENTER, MARICOPA, SCOTTSDALE",33.697268,-111.88321,AZ
1,"PHOENIX VA MEDICAL CENTER, MARICOPA, PHOENIX",33.505251,-112.0703,AZ
1,"MARICOPA MEDICAL CENTER, MARICOPA, PHOENIX",33.466393,-112.0008,AZ
1,"VA S. ARIZONA HEALTHCARE SYSTEM, PIMA, TUCSON",31.970131,-111.890713,AZ
1,"VA NORTHERN ARIZONA HEALTHCARE SYSTEM, YAVAPAI, PRESCOTT",34.706724,-112.39773,AZ
1,"WICKENBURG COMMUNITY HOSPITAL, MARICOPA, WICKENBURG",33.961122,-112.76952,AZ
1,"BENSON HOSPITAL, COCHISE, BENSON",32.010164,-110.3182,AZ
1,"NORTHERN COCHISE COMMUNITY HOSPITAL, COCHISE, WILLCOX",32.356537,-109.88461,AZ
1,"COCHISE REGIONAL HOSPITAL, COCHISE, DOUGLAS",31.382775,-109.55035,AZ
1,"PAGE HOSPITAL, COCONINO, PAGE",36.726377,-111.4284,AZ
1,"HOPI HEALTH CARE CENTER, NAVAJO, POLACCA",35.835642,-110.36628,AZ
1,"SAGE MEMORIAL HOSPITAL, APACHE, GANADO",35.665344,-109.65344,AZ
1,"LITTLE COLORADO MEDICAL CENTER, NAVAJO, WINSLOW",35.258309,-110.53128,AZ
1,"COPPER QUEEN COMMUNITY HOSPITAL, COCHISE, BISBEE",31.406229,-109.8958,AZ
1,"CARONDELET HOLY CROSS HOSPITAL, SANTA CRUZ, NOGALES",31.37737,-110.9264,AZ
1,"COBRE VALLEY REGIONAL MEDICAL CENTER, GILA, GLOBE",33.53457,-110.75681,AZ
1,"WHITE MOUNTAIN REGIONAL MEDICAL CENTER, APACHE, SPRINGERVILLE",34.094597,-109.22291,AZ
1,"LA PAZ REGIONAL HOSPITAL, LA PAZ, PARKER",34.100704,-114.30462,AZ
1,"PHOENIX INDIAN MEDICAL CENTER, MARICOPA, PHOENIX",33.503742,-112.03235,AZ
1,"SILOAM SPRINGS REGIONAL HOSPITAL, BENTON, SILOAM SPRINGS",36.179905,-94.50208,AZ
1,"JOHNSON REGIONAL MEDICAL CENTER, JOHNSON, CLARKSVILLE",35.490105,-93.4851,AZ
1,"WASHINGTON REGIONAL MED CTR AT NORTH HILLS, WASHINGTON, FAYETTEVILLE",36.107078,-94.11592,AZ
1,"ST VINCENT INFIRMARY MEDICAL CENTER, PULASKI, LITTLE ROCK",34.752391,-92.3355,AZ
1,"MERCY HOSPITAL NORTHWEST ARKANSAS, BENTON, ROGERS",36.306616,-94.14622,AZ
1,"CHAMBERS MEMORIAL HOSPITAL, YELL, DANVILLE",35.044021,-93.4195,AZ
1,"WHITE COUNTY MEDICAL CENTER, WHITE, SEARCY",35.239022,-91.73776,AZ
1,"MENA REGIONAL HEALTH SYSTEM, POLK, MENA",34.588479,-94.21567,AZ
1,"ST VINCENT INFIRMARY MEDICAL CENTER, PULASKI, LITTLE ROCK",34.752391,-92.3355,AZ
1,"NORTH ARKANSAS REGIONAL MEDICAL CENTER, BOONE, HARRISON",36.236984,-93.09345,AZ
1,"SPARKS MEDICAL CENTER - VAN BUREN, CRAWFORD, VAN BUREN",35.456536,-94.34581,AZ
1,"FORREST CITY MEDICAL CENTER, SAINT FRANCIS, FORREST CITY",35.010683,-90.78048,AZ
1,"ST BERNARDS MEDICAL CENTER, CRAIGHEAD, JONESBORO",35.844795,-90.68443,AZ
1,"NORTHWEST MEDICAL CENTER-SPRINGDALE, WASHINGTON, SPRINGDALE",36.182407,-94.1082,AZ
1,"MERCY HOSPITAL HOT SPRINGS, GARLAND, HOT SPRINGS",34.581374,-93.099403,AZ
1,"BAXTER REGIONAL MEDICAL CENTER, BAXTER, MOUNTAIN HOME",36.329026,-92.35781,AZ
1,"CONWAY REGIONAL MEDICAL CENTER, FAULKNER, CONWAY",35.074617,-92.444426,AZ
1,"BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK, PULASKI, NORTH LITTLE ROCK",34.777238,-92.17913,AZ
1,"ARKANSAS METHODIST MEDICAL CENTER, GREENE, PARAGOULD",36.065711,-90.5102,AZ
1,"ST MARYS REGIONAL MEDICAL CENTER, POPE, RUSSELLVILLE",35.278429,-93.13682,AZ
1,"FIVE RIVERS MEDICAL CENTER, RANDOLPH, POCAHONTAS",36.304912,-91.0141,AZ
1,"OUACHITA COUNTY MEDICAL CENTER, OUACHITA, CAMDEN",33.578096,-92.81368,AZ
1,"DREW MEMORIAL HOSPITAL, DREW, MONTICELLO",33.62086,-91.76272,AZ
1,"SPARKS REGIONAL MEDICAL CENTER, SEBASTIAN, FORT SMITH",35.38619,-94.409114,AZ
1,"ST EDWARD MERCY MEDICAL CENTER, SEBASTIAN, FORT SMITH",35.191046,-94.23816,AR
1,"MAGNOLIA HOSPITAL, COLUMBIA, MAGNOLIA",33.242571,-93.22996,AR
1,"GREAT RIVER MEDICAL CENTER, MISSISSIPPI, BLYTHEVILLE",35.925991,-89.91767,AR
1,"JEFFERSON REGIONAL MEDICAL CENTER, JEFFERSON, PINE BLUFF",34.189398,-92.04495,AR
1,"BAPTIST HEALTH MEDICAL CENTER-STUTTGART, ARKANSAS, STUTTGART",34.479852,-91.53854,AR
1,"NORTH METRO MEDICAL CENTER, PULASKI, JACKSONVILLE",34.879419,-92.12244,AR
1,"BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY, HOT SPRING, MALVERN",34.364093,-92.8146,AR
