id,hname,City,state,ZIP Code,county,total_amount,year,group
1, HIMA SAN PABLO BAYAMON,BAYAMON,PR,961,BAYAMON,71,1,medium
2,ABBEVILLE AREA MEDICAL CENTER,ABBEVILLE,SC,29620,ABBEVILLE,20,0,low
3,ABBEVILLE GENERAL HOSPITAL,ABBEVILLE,LA,70510,VERMILION,20,0,low
4,ABBOTT NORTHWESTERN HOSPITAL,MINNEAPOLIS,MN,55407,HENNEPIN,21,0,low
5,ABILENE REGIONAL MEDICAL CENTER,ABILENE,TX,79606,TAYLOR,22,1,medium
6,ABINGTON MEMORIAL HOSPITAL,ABINGTON,PA,19001,MONTGOMERY,20,0,low
7,ABRAHAM LINCOLN MEMORIAL HOSPITAL,LINCOLN,IL,62656,LOGAN,22,1,medium
8,ABRAZO ARROWHEAD CAMPUS,GLENDALE,AZ,85308,MARICOPA,21,0,low
9,ABRAZO CENTRAL CAMPUS,PHOENIX,AZ,85015,MARICOPA,20,0,low
10,ABRAZO MARYVALE CAMPUS,PHOENIX,AZ,85031,MARICOPA,22,1,medium
11,ABRAZO SCOTTSDALE CAMPUS,PHOENIX,AZ,85032,MARICOPA,21,0,low
12,ABRAZO WEST CAMPUS,GOODYEAR,AZ,85395,MARICOPA,21,0,low
13,ABROM KAPLAN MEMORIAL HOSPITAL,KAPLAN,LA,70548,VERMILION,91,1,medium
14,ACADIA GENERAL HOSPITAL,CROWLEY,LA,70526,ACADIA,22,1,medium
15,ACMH HOSPITAL,KITTANNING,PA,16201,ARMSTRONG,20,0,low
16,ADAIR COUNTY MEMORIAL HOSPITAL,GREENFIELD,IA,50849,ADAIR,26,1,medium
17,ADAMS COUNTY REGIONAL MEDICAL CENTER,SEAMAN,OH,45679,ADAMS,112,1,medium
18,ADAMS MEMORIAL HOSPITAL,DECATUR,IN,46733,ADAMS,64,1,medium
19,ADCARE HOSPITAL OF WORCESTER INC,WORCESTER,MA,1605,WORCESTER,116,2,high
20,ADENA REGIONAL MEDICAL CENTER,CHILLICOTHE,OH,45601,ROSS,20,0,low
21,ADIRONDACK MEDICAL CENTER,SARANAC LAKE,NY,12983,FRANKLIN,20,0,low
22,ADVANCED SURGICAL HOSPITAL,WASHINGTON,PA,15301,WASHINGTON,20,0,low
23,ADVENTIST BOLINGBROOK HOSPITAL,BOLINGBROOK,IL,60440,WILL,20,0,low
24,ADVENTIST GLENOAKS,GLENDALE HEIGHTS,IL,60139,DUPAGE,20,0,low
25,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,ROCKVILLE,MD,20850,MONTGOMERY,20,0,low
26,ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL,TAKOMA PARK,MD,20912,MONTGOMERY,23,1,medium
27,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,LA GRANGE,IL,60525,COOK,20,0,low
28,ADVENTIST MEDICAL CENTER,PORTLAND,OR,97216,MULTNOMAH,20,0,low
29,ADVENTIST MEDICAL CENTER,HANFORD,CA,93230,KINGS,22,1,medium
30,ADVENTIST MEDICAL CENTER - REEDLEY,REEDLEY,CA,93654,FRESNO,20,0,low
31,ADVOCATE BROMENN MEDICAL CENTER,NORMAL,IL,61761,MCLEAN,22,1,medium
32,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,OAK LAWN,IL,60453,COOK,21,0,low
33,ADVOCATE CONDELL MEDICAL CENTER,LIBERTYVILLE,IL,60048,LAKE,20,0,low
34,ADVOCATE EUREKA  HOSPITAL,EUREKA,IL,61530,WOODFORD,21,0,low
35,ADVOCATE GOOD SAMARITAN HOSPITAL,DOWNERS GROVE,IL,60515,DUPAGE,21,0,low
36,ADVOCATE GOOD SHEPHERD HOSPITAL,BARRINGTON,IL,60010,LAKE,21,0,low
37,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,CHICAGO,IL,60657,COOK,21,0,low
38,ADVOCATE LUTHERAN GENERAL HOSPITAL,PARK RIDGE,IL,60068,COOK,21,0,low
39,ADVOCATE SOUTH SUBURBAN HOSPITAL,HAZEL CREST,IL,60429,COOK,21,0,low
40,ADVOCATE TRINITY HOSPITAL,CHICAGO,IL,60617,COOK,23,1,medium
41,AFFINITY MEDICAL CENTER,MASSILLON,OH,44646,STARK,23,1,medium
42,AHMC ANAHEIM REGIONAL MEDICAL CENTER,ANAHEIM,CA,92801,ORANGE,20,0,low
43,AIKEN REGIONAL MEDICAL CENTER,AIKEN,SC,29801,AIKEN,20,0,low
44,AKRON GENERAL MEDICAL CENTER,AKRON,OH,44307,SUMMIT,20,0,low
45,ALAMANCE REGIONAL MEDICAL CENTER,BURLINGTON,NC,27216,ALAMANCE,23,1,medium
46,ALAMEDA HOSPITAL,ALAMEDA,CA,94501,ALAMEDA,20,0,low
47,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,99508,ANCHORAGE,24,1,medium
48,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508,ANCHORAGE,20,0,low
49,ALBANY AREA HOSPITAL,ALBANY,MN,56307,STEARNS,22,1,medium
50,ALBANY MEDICAL CENTER HOSPITAL,ALBANY,NY,12208,ALBANY,22,1,medium
51,ALBANY MEMORIAL HOSPITAL,ALBANY,NY,12204,ALBANY,22,1,medium
52,ALBANY VA MEDICAL CENTER,ALBANY,NY,12208,ALBANY,105,1,medium
53,ALBERT EINSTEIN MEDICAL CENTER,PHILADELPHIA,PA,19141,PHILADELPHIA,22,1,medium
54,ALEXANDRIA VA MEDICAL CENTER,PINEVILLE,LA,71360,RAPIDES,88,1,medium
55,ALEXIAN BROTHERS MEDICAL CENTER 1,ELK GROVE VILLAGE,IL,60007,COOK,20,0,low
56,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA,CA,91801,LOS ANGELES,21,0,low
57,ALICE HYDE MEDICAL CENTER,MALONE,NY,12953,FRANKLIN,21,0,low
58,ALICE PECK DAY MEMORIAL HOSPITAL,LEBANON,NH,3766,GRAFTON,84,1,medium
59,ALLEGAN GENERAL HOSPITAL,ALLEGAN,MI,49010,ALLEGAN,30,1,medium
60,ALLEGHANY COUNTY MEMORIAL HOSPITAL,SPARTA,NC,28675,ALLEGHANY,23,1,medium
61,ALLEGHENY GENERAL HOSPITAL,PITTSBURGH,PA,15212,ALLEGHENY,21,0,low
62,ALLEGHENY VALLEY HOSPITAL,NATRONA,PA,15065,ALLEGHENY,20,0,low
63,ALLEGIANCE HEALTH,JACKSON,MI,49201,JACKSON,20,0,low
64,ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE,KILGORE,TX,75662,GREGG,30,1,medium
65,ALLEN COUNTY REGIONAL HOSPITAL,IOLA,KS,66749,ALLEN,51,1,medium
66,ALLEN HOSPITAL,WATERLOO,IA,50703,BLACK HAWK,20,0,low
67,ALLEN PARISH HOSPITAL,KINDER,LA,70648,ALLEN,22,1,medium
68,ALLENDALE COUNTY HOSPITAL,FAIRFAX,SC,29827,ALLENDALE,108,1,medium
69,ALLIANCE COMMUNITY HOSPITAL,ALLIANCE,OH,44601,STARK,20,0,low
70,ALLIANCE HEALTH CENTER,MERIDIAN,MS,39301,LAUDERDALE,20,0,low
71,ALLIANCE HEALTHCARE SYSTEM,HOLLY SPRINGS,MS,38635,MARSHALL,21,0,low
72,ALPENA REGIONAL MEDICAL CENTER,ALPENA,MI,49707,ALPENA,20,0,low
73,ALTA BATES SUMMIT MEDICAL CENTER,OAKLAND,CA,94609,ALAMEDA,22,1,medium
74,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,CA,94705,ALAMEDA,20,0,low
75,ALTA VIEW HOSPITAL,SANDY,UT,84094,SALT LAKE,20,0,low
76,ALTA VISTA REGIONAL HOSPITAL,LAS VEGAS,NM,87701,SAN MIGUEL,20,0,low
77,ALTON MEMORIAL HOSPITAL,ALTON,IL,62002,MADISON,20,0,low
78,ALTRU HOSPITAL,GRAND FORKS,ND,58201,GRAND FORKS,21,0,low
79,ALVARADO HOSPITAL MEDICAL CENTER,SAN DIEGO,CA,92120,SAN DIEGO,23,1,medium
80,AMERICAN FORK HOSPITAL,AMERICAN FORK,UT,84003,UTAH,20,0,low
81,AMERY HOSPITAL & CLINIC,AMERY,WI,54001,POLK,41,1,medium
82,ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM,CA,92805,ORANGE,24,1,medium
83,ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,36420,COVINGTON,20,0,low
84,ANDERSON COUNTY HOSPITAL,GARNETT,KS,66032,ANDERSON,34,1,medium
85,ANDERSON HOSPITAL,MARYVILLE,IL,62062,MADISON,22,1,medium
86,ANDERSON REGIONAL MEDICAL CTR,MERIDIAN,MS,39301,LAUDERDALE,22,1,medium
87,ANDERSON RMC SOUTH,MERIDIAN,MS,39301,LAUDERDALE,108,1,medium
88,ANDROSCOGGIN VALLEY HOSPITAL,BERLIN,NH,3570,COOS,105,1,medium
89,ANGEL MEDICAL CENTER,FRANKLIN,NC,28734,MACON,20,0,low
90,"ANIMAS SURGICAL HOSPITAL, LLC",DURANGO,CO,81301,LA PLATA,21,0,low
91,ANMED HEALTH,ANDERSON,SC,29621,ANDERSON,20,0,low
92,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,1950,ESSEX,20,0,low
93,ANNE ARUNDEL MEDICAL CENTER,ANNAPOLIS,MD,21401,ANNE ARUNDEL,20,0,low
94,ANNE BATES LEACH EYE HOSPITAL,MIAMI,FL,33136,MIAMI-DADE,20,0,low
95,ANSON GENERAL HOSPITAL,ANSON,TX,79501,JONES,20,0,low
96,ANTELOPE MEMORIAL HOSPITAL,NELIGH,NE,68756,ANTELOPE,106,1,medium
97,ANTELOPE VALLEY HOSPITAL,LANCASTER,CA,93534,LOS ANGELES,21,0,low
98,ANTHONY MEDICAL CENTER,ANTHONY,KS,67003,HARPER,35,1,medium
99,APPLETON MEDICAL CENTER,APPLETON,WI,54911,OUTAGAMIE,20,0,low
100,APPLETON MUNICIPAL HOSPITAL,APPLETON,MN,56208,SWIFT,57,1,medium
101,APPLING HOSPITAL,BAXLEY,GA,31513,APPLING,20,0,low
102,ARBUCKLE MEMORIAL HOSPITAL,SULPHUR,OK,73086,MURRAY,29,1,medium
103,ARIA HEALTH,PHILADELPHIA,PA,19114,PHILADELPHIA,22,1,medium
104,ARISE AUSTIN MEDICAL CENTER,AUSTIN,TX,78746,TRAVIS,20,0,low
105,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP,CHANDLER,AZ,85224,MARICOPA,37,1,medium
106,ARIZONA SPINE AND JOINT HOSPITAL,MESA,AZ,85206,MARICOPA,117,2,high
107,ARKANSAS CHILDRENS HOSPITAL,LITTLE ROCK,AR,72202,PULASKI,106,1,medium
108,"ARKANSAS HEART HOSPITAL, LLC",LITTLE ROCK,AR,72211,PULASKI,20,0,low
109,ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,AR,72450,GREENE,23,1,medium
110,ARKANSAS SURGICAL HOSPITAL,NO LITTLE ROCK,AR,72118,PULASKI,20,0,low
111,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,LA JUNTA,CO,81050,OTERO,20,0,low
112,ARNOT OGDEN MEDICAL CENTER,ELMIRA,NY,14905,CHEMUNG,20,0,low
113,AROOSTOOK MEDICAL CENTER,PRESQUE ISLE,ME,4769,AROOSTOOK,21,0,low
114,ARROWHEAD REGIONAL MEDICAL CENTER,COLTON,CA,92324,SAN BERNARDINO,22,1,medium
115,ARTESIA GENERAL HOSPITAL,ARTESIA,NM,88210,EDDY,21,0,low
116,ASANTE ASHLAND COMMUNITY HOSPITAL,ASHLAND,OR,97520,JACKSON,20,0,low
117,ASANTE ROGUE REGIONAL MEDICAL CENTER,MEDFORD,OR,97504,JACKSON,20,0,low
118,ASANTE THREE RIVERS MEDICAL CENTER,GRANTS PASS,OR,97527,JOSEPHINE,20,0,low
119,ASHE MEMORIAL HOSPITAL,JEFFERSON,NC,28640,ASHE,36,1,medium
120,ASHEVILLE-OTEEN VA MEDICAL CENTER,ASHEVILLE,NC,28805,BUNCOMBE,114,1,medium
121,ASHLAND HEALTH CENTER,ASHLAND,KS,67831,CLARK,89,1,medium
122,ASHLEY COUNTY MEDICAL CENTER,CROSSETT,AR,71635,ASHLEY,28,1,medium
123,ASHLEY REGIONAL MEDICAL CENTER,VERNAL,UT,84078,UINTAH,20,0,low
124,ASHTABULA COUNTY MEDICAL CENTER,ASHTABULA,OH,44004,ASHTABULA,23,1,medium
125,"ASOCIACION HOSPITAL DEL MAESTRO, INC",SAN JUAN,PR,936,SAN JUAN,96,1,medium
126,ASPEN VALLEY HOSPITAL,ASPEN,CO,81611,PITKIN,109,1,medium
127,ASPIRUS GRAND VIEW HOSPITAL,IRONWOOD,MI,49938,GOGEBIC,27,1,medium
128,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",IRON RIVER,MI,49935,IRON,30,1,medium
129,ASPIRUS KEWEENAW HOSPITAL,LAURIUM,MI,49913,HOUGHTON,30,1,medium
130,ASPIRUS LANGLADE HOSPITAL,ANTIGO,WI,54409,LANGLADE,22,1,medium
131,"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC",MEDFORD,WI,54451,TAYLOR,20,0,low
132,"ASPIRUS ONTONAGON HOSPITAL, INC",ONTONAGON,MI,49953,ONTONAGON,24,1,medium
133,ASPIRUS WAUSAU HOSPITAL,WAUSAU,WI,54401,MARATHON,20,0,low
134,ATHENS REGIONAL MEDICAL CENTER,ATHENS,GA,30606,CLARKE,22,1,medium
135,ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,35611,LIMESTONE,20,0,low
136,ATHOL MEMORIAL HOSPITAL,ATHOL,MA,1331,WORCESTER,88,1,medium
137,ATLANTA MEDICAL CENTER,ATLANTA,GA,30312,FULTON,21,0,low
138,ATLANTIC GENERAL HOSPITAL,BERLIN,MD,21811,WORCESTER,38,1,medium
139,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,ATLANTIC CITY,NJ,8401,ATLANTIC,22,1,medium
140,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502,ESCAMBIA,24,1,medium
141,ATOKA COUNTY MEDICAL CENTER,ATOKA,OK,74525,ATOKA,38,1,medium
142,ATRIUM MEDICAL CENTER,FRANKLIN,OH,45005,WARREN,21,0,low
143,AUBURN COMMUNITY HOSPITAL,AUBURN,NY,13021,CAYUGA,24,1,medium
144,AUDUBON COUNTY MEMORIAL HOSPITAL,AUDUBON,IA,50025,AUDUBON,25,1,medium
145,AUGUSTA HEALTH,FISHERSVILLE,VA,22939,AUGUSTA,21,0,low
146,AUGUSTA VA MEDICAL CENTER,AUGUSTA,GA,30901,RICHMOND,115,2,high
147,AULTMAN HOSPITAL,CANTON,OH,44710,STARK,20,0,low
148,AULTMAN ORRVILLE HOSPITAL,ORRVILLE,OH,44667,WAYNE,20,0,low
149,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONEONTA,NY,13820,OTSEGO,20,0,low
150,AURORA BAYCARE MEDICAL CTR,GREEN BAY,WI,54311,BROWN,20,0,low
151,AURORA LAKELAND MEDICAL CENTER,ELKHORN,WI,53121,WALWORTH,20,0,low
152,AURORA MEDICAL CENTER,SUMMIT,WI,53066,WAUKESHA,20,0,low
153,AURORA MEDICAL CENTER,GRAFTON,WI,53024,OZAUKEE,20,0,low
154,AURORA MEDICAL CTR KENOSHA,KENOSHA,WI,53142,KENOSHA,21,0,low
